Institution,Country
Ferhat Abbas Setif University 1,Algeria
University Abou Bekr Belkaid - Tlemcen,Algeria
University of Bejaia,Algeria
Universidad de Palermo,Argentina
National University de General San Martin,Argentina
National University de Cuyo,Argentina
National University of the South,Argentina
National University de Cordoba,Argentina
James Cook University,Australia
University of Western Sydney,Australia
University of Technology Sydney,Australia
Murdoch University,Australia
University of Melbourne,Australia
University of South Australia,Australia
RMIT University,Australia
Australian National University,Australia
Southern Cross University,Australia
Central Queensland University,Australia
Swinburne University of Technology,Australia
Edith Cowan University,Australia
University of Canberra,Australia
University of Southern Queensland,Australia
University of Sydney,Australia
University of Adelaide,Australia
Victoria University - Melbourne,Australia
Bond University,Australia
University of the Sunshine Coast,Australia
Australian Catholic University,Australia
University of New South Wales,Australia
La Trobe University,Australia
University of Queensland,Australia
Flinders University,Australia
University of Western Australia,Australia
Macquarie University,Australia
Griffith University,Australia
Queensland University of Technology,Australia
University of Newcastle - Australia,Australia
Charles Darwin University,Australia
University of Wollongong,Australia
University of Tasmania,Australia
Monash University,Australia
Curtin University,Australia
Deakin University,Australia
Medical University of Vienna,Austria
University of Graz,Austria
University of Linz,Austria
University of Vienna,Austria
Medical University of Graz,Austria
University of Leoben,Austria
Medical University of Innsbruck,Austria
Vienna University of Technology,Austria
University of Innsbruck,Austria
Graz University of Technology,Austria
University of Klagenfurt,Austria
University of Dhaka,Bangladesh
Belarusian State University,Belarus
Hasselt University,Belgium
Universite Libre de Bruxelles,Belgium
Catholic University of Leuven,Belgium
University of Gent,Belgium
Catholic University of Louvain,Belgium
University of Liege,Belgium
University of Antwerp,Belgium
Vrije Universiteit Brussel,Belgium
University of Sao Paulo,Brazil
Federal University of Sao Paulo,Brazil
State University of Campinas,Brazil
Pontifical Catholic University of Rio de Janeiro,Brazil
Rio de Janeiro State University,Brazil
Pontifical Catholic University of Rio Grande do Sul,Brazil
Sao Paulo State University,Brazil
Federal University of Rio Grande do Sul,Brazil
Federal University of Parana,Brazil
Federal University of Vicosa,Brazil
Federal University of Santa Catarina,Brazil
Pontifical Catholic University of Parana,Brazil
Federal University of Minas Gerais,Brazil
Federal University of Lavras,Brazil
Federal University of Bahia,Brazil
University of Brasilia,Brazil
Federal University of Rio de Janeiro,Brazil
Federal University of Sao Carlos,Brazil
Federal University of Pelotas,Brazil
State University de Londrina,Brazil
State University de Maringa,Brazil
Federal University Fluminense,Brazil
Federal University of Goias,Brazil
Federal University of Ouro Preto,Brazil
Federal University of Pernambuco,Brazil
Federal University of Santa Maria,Brazil
Federal University of Ceara,Brazil
Federal University of Rio Grande do Norte,Brazil
Federal University of Itajuba,Brazil
State University de Ponta Grossa,Brazil
Federal University of ABC,Brazil
University of Brunei Darussalam,Brunei
Sofia University,Bulgaria
University of Quebec at Montreal,Canada
University of Alberta,Canada
University of Saskatchewan,Canada
University of Northern British Columbia,Canada
University of Victoria,Canada
Memorial University of Newfoundland,Canada
University of Regina,Canada
University of Sherbrooke,Canada
Concordia University,Canada
University of Quebec,Canada
University of Montreal,Canada
Dalhousie University,Canada
Ryerson University,Canada
Lakehead University,Canada
McMaster University,Canada
Carleton University,Canada
McGill University,Canada
University of Toronto,Canada
University of Guelph,Canada
York University,Canada
Western University,Canada
University of Manitoba,Canada
University of British Columbia,Canada
University of Waterloo,Canada
University of Ottawa,Canada
Queen's University,Canada
University of Windsor,Canada
Laval University,Canada
Simon Fraser University,Canada
University of Calgary,Canada
University of Concepcion,Chile
University of Chile,Chile
University of Desarrollo,Chile
University of Valparaiso,Chile
National University Andres Bello,Chile
Pontifical Catholic University of Chile,Chile
Federico Santa Maria Technical University,Chile
Universidad Autonoma de Chile,Chile
Catholic University of the North,Chile
University Diego Portales,Chile
University of Santiago de Chile,Chile
University of La Frontera,Chile
University of Talca,Chile
University Austral de Chile,Chile
Pontifical Catholic University of Valparaiso,Chile
Shantou University,China
Yangzhou University,China
China Pharmaceutical University,China
Shenzhen University,China
South China University of Technology,China
Nanjing University of Information Science and Technology,China
Shanghai University,China
Nankai University,China
Ocean University of China,China
Shanghai Jiao Tong University,China
Southern University of Science and Technology,China
Northwest Agriculture and Forestry University,China
Sichuan University,China
University of Electronic Science and Technology of China,China
Southern Medical University,China
University of Science and Technology Beijing,China
Shanghai University of Finance and Economics,China
Shanghai Maritime University,China
Guangdong University of Technology,China
Nanjing Agricultural University,China
Southeast University,China
Jiangsu Normal University,China
Nanjing Medical University,China
Beijing Jiaotong University,China
Nanjing Normal University,China
University of International Business and Economics,China
Northeast Normal University,China
Northeastern University in China,China
China University of Petroleum (Beijing),China
Xidian University,China
Northwestern Polytechnical University,China
Beijing Normal University,China
Fudan University,China
Jilin University,China
Huaqiao University,China
Huazhong University of Science and Technology,China
Nanjing University of Technology,China
East China University of Science and Technology,China
Xiamen University,China
Shandong University,China
Central China Normal University (Huazhong Normal University),China
Shaanxi Normal University,China
Jinan University - Guangdong,China
Xiangtan University,China
Soochow University,China
Xi'an Jiaotong University,China
Tongji University,China
Tianjin University,China
China Agricultural University,China
East China Normal University,China
Southwest Jiaotong University,China
Northwest University,China
Jiangsu University,China
Beihang University,China
Hunan University,China
Dalian University of Technology,China
Chongqing University,China
Harbin Institute of Technology,China
Wuhan University,China
Capital University of Medical Sciences,China
China University of Mining Technology - Xuzhou,China
Beijing Institute of Technology,China
Wuhan University of Technology,China
University of Macau,China
Central South University,China
China University of Geosciences - Beijing,China
Huazhong Agricultural University,China
Fuzhou University,China
Renmin University of China,China
China University of Geosciences Wuhan,China
Southwestern University of Finance and Economics,China
Peking University,China
Tsinghua University,China
Zhejiang University,China
Nanjing University,China
Sun Yat-Sen University,China
University of Science and Technology of China,China
University Industrial de Santander,Colombia
University of Los Andes,Colombia
University of Rosario,Colombia
National University of Colombia,Colombia
Pontificia Universidad Javeriana,Colombia
University of Antioquia,Colombia
University of Costa Rica,Costa Rica
University of Zagreb,Croatia
University of Split,Croatia
University of Cyprus,Cyprus
Cyprus University of Technology,Cyprus
Eastern Mediterranean University,Cyprus
Masaryk University,Czech Republic
Czech Technical University of Prague,Czech Republic
University of Ostrava,Czech Republic
Palacky University,Czech Republic
University of West Bohemia,Czech Republic
Charles University Prague,Czech Republic
Brno University of Technology,Czech Republic
University of Pardubice,Czech Republic
Czech University of Life Sciences Prague,Czech Republic
University of South Bohemia,Czech Republic
Technical University of Liberec,Czech Republic
Tomas Bata University in Zlin,Czech Republic
University of Chemistry and Technology - Prague,Czech Republic
Technical University of Ostrava,Czech Republic
Copenhagen Business School,Denmark
Aarhus University,Denmark
Roskilde University,Denmark
Aalborg University,Denmark
University of Copenhagen,Denmark
University of Southern Denmark,Denmark
Technical University of Denmark,Denmark
Cairo University,Egypt
Ain Shams University,Egypt
Mansoura University,Egypt
Beni-Suef University,Egypt
Alexandria University,Egypt
Aswan University,Egypt
Suez Canal University,Egypt
Fayoum University,Egypt
American University in Cairo,Egypt
Kafrelsheikh University,Egypt
Benha University,Egypt
Tanta University,Egypt
Sohag University,Egypt
Assiut University,Egypt
South Valley University,Egypt
University of Tartu,Estonia
Tallinn University,Estonia
Tallinn University of Technology,Estonia
University of Helsinki,Finland
Lappeenranta University of Technology,Finland
Aalto University,Finland
University of Eastern Finland,Finland
University of Turku,Finland
University of Tampere,Finland
University of Jyvaskyla,Finland
Tampere University of Technology,Finland
Abo Akademi University,Finland
University of Oulu,Finland
Ecole des Mines de Saint-Etienne,France
Institut National des Sciences Appliquees de Lyon,France
University of Strasbourg,France
Mines ParisTech,France
University of Versailles Saint-Quentin-en-Yvelines,France
Grenoble Alpes University,France
University Joseph Fourier - Grenoble I,France
University of Droit et de la Sante - Lille II,France
