pokedex_number,name,japanese_name,base_total,attack,defense,sp_attack,sp_defense,speed,hp,capture_rate,experience_growth,type1,type2,classification,generation,is_legendary,x,y
1,Bulbasaur,Fushigidaneフシギダネ,318,49,49,65,65,45,45,45,1059860,grass,poison,Seed Pokémon,1,0,2.0027124881744385,-23.850000381469727
2,Ivysaur,Fushigisouフシギソウ,405,62,63,80,80,60,60,45,1059860,grass,poison,Seed Pokémon,1,0,-4.191871643066406,-1.011356234550476
3,Venusaur,Fushigibanaフシギバナ,625,100,123,122,120,80,80,45,1059860,grass,poison,Seed Pokémon,1,0,16.135290145874023,25.56937026977539
4,Charmander,Hitokageヒトカゲ,309,52,43,60,50,65,39,45,1059860,fire,,Lizard Pokémon,1,0,3.7167813777923584,-33.8448600769043
5,Charmeleon,Lizardoリザード,405,64,58,80,65,80,58,45,1059860,fire,,Flame Pokémon,1,0,14.146768569946289,-2.5135087966918945
6,Charizard,Lizardonリザードン,634,104,78,159,115,100,78,45,1059860,fire,flying,Flame Pokémon,1,0,21.320106506347656,24.066560745239258
7,Squirtle,Zenigameゼニガメ,314,48,65,50,64,43,44,45,1059860,water,,Tiny Turtle Pokémon,1,0,-2.271458864212036,-22.992063522338867
8,Wartortle,Kameilカメール,405,63,80,65,80,58,59,45,1059860,water,,Turtle Pokémon,1,0,-7.080922603607178,-1.2097383737564087
9,Blastoise,Kamexカメックス,630,103,120,135,115,78,79,45,1059860,water,,Shellfish Pokémon,1,0,16.698453903198242,25.112625122070312
10,Caterpie,Caterpieキャタピー,195,30,35,20,20,45,45,255,1000000,bug,,Worm Pokémon,1,0,-10.44580078125,-40.1074333190918
11,Metapod,Transelトランセル,205,20,55,25,25,30,50,120,1000000,bug,,Cocoon Pokémon,1,0,-14.740864753723145,-40.96603012084961
12,Butterfree,Butterfreeバタフリー,395,45,50,90,80,70,60,45,1000000,bug,flying,Butterfly Pokémon,1,0,12.74251937866211,-1.0355377197265625
13,Weedle,Beedleビードル,195,35,30,20,20,50,40,255,1000000,bug,poison,Hairy Pokémon,1,0,-9.759886741638184,-40.05315017700195
14,Kakuna,Cocoonコクーン,205,25,50,25,25,35,45,120,1000000,bug,poison,Cocoon Pokémon,1,0,-13.847177505493164,-40.8917236328125
15,Beedrill,Spearスピアー,495,150,40,15,80,145,65,45,1000000,bug,poison,Poison Bee Pokémon,1,0,3.6541762351989746,2.922008752822876
16,Pidgey,Poppoポッポ,251,45,40,35,35,56,40,255,1059860,normal,flying,Tiny Bird Pokémon,1,0,-6.053361415863037,-37.796024322509766
17,Pidgeotto,Pigeonピジョン,349,60,55,50,50,71,63,120,1059860,normal,flying,Bird Pokémon,1,0,0.20801584422588348,-13.147608757019043
18,Pidgeot,Pigeotピジョット,579,80,80,135,80,121,83,45,1059860,normal,flying,Bird Pokémon,1,0,21.8046817779541,15.307976722717285
19,Rattata,Korattaコラッタ,253,56,35,25,35,72,30,255,1000000,normal,dark,Mouse Pokémon,1,0,-3.12898588180542,-38.74911117553711
20,Raticate,Rattaラッタ,413,71,70,40,80,77,75,127,1000000,normal,dark,Mouse Pokémon,1,0,3.8270552158355713,-3.503762722015381
21,Spearow,Onisuzumeオニスズメ,262,60,30,31,31,70,40,255,1000000,normal,flying,Tiny Bird Pokémon,1,0,-3.477954387664795,-37.819114685058594
22,Fearow,Onidrillオニドリル,442,90,65,61,61,100,65,90,1000000,normal,flying,Beak Pokémon,1,0,8.095501899719238,3.731771230697632
23,Ekans,Arboアーボ,288,60,44,40,54,55,35,255,1000000,poison,,Snake Pokémon,1,0,-5.449674606323242,-31.453386306762695
24,Arbok,Arbokアーボック,448,95,69,65,79,80,60,90,1000000,poison,,Cobra Pokémon,1,0,1.5209776163101196,-0.4199274480342865
25,Pikachu,Pikachuピカチュウ,320,55,40,50,50,90,35,190,1000000,electric,,Mouse Pokémon,1,0,1.2856864929199219,-40.0806770324707
26,Raichu,Raichuライチュウ,485,85,50,95,85,110,60,75,1000000,electric,electric,Mouse Pokémon,1,0,17.465974807739258,8.452993392944336
27,Sandshrew,Sandサンド,300,75,90,10,35,40,50,255,1000000,ground,ice,Mouse Pokémon,1,0,-17.220949172973633,-17.089767456054688
28,Sandslash,Sandpanサンドパン,450,100,120,25,65,65,75,90,1000000,ground,ice,Mouse Pokémon,1,0,-22.991445541381836,10.988179206848145
29,Nidoran♀,Nidoran?ニドラン♀,275,47,52,40,40,41,55,235,1059860,poison,,Poison Pin Pokémon,1,0,-6.206216335296631,-27.85213851928711
30,Nidorina,Nidorinaニドリーナ,365,62,67,55,55,56,70,120,1059860,poison,,Poison Pin Pokémon,1,0,1.2823841571807861,-15.758902549743652
31,Nidoqueen,Nidoqueenニドクイン,505,92,87,75,85,76,90,45,1059860,poison,ground,Drill Pokémon,1,0,-7.3757643699646,17.082504272460938
32,Nidoran♂,Nidoran?ニドラン♂,273,57,40,40,40,50,46,235,1059860,poison,,Poison Pin Pokémon,1,0,-8.06415843963623,-35.036800384521484
33,Nidorino,Nidorinoニドリーノ,365,72,57,55,55,65,61,120,1059860,poison,,Poison Pin Pokémon,1,0,-2.290069341659546,-11.705021858215332
34,Nidoking,Nidokingニドキング,505,102,77,85,75,85,81,45,1059860,poison,ground,Drill Pokémon,1,0,8.791292190551758,10.497639656066895
35,Clefairy,Pippiピッピ,323,45,48,60,65,35,70,150,800000,fairy,,Fairy Pokémon,1,0,3.8359148502349854,-21.027565002441406
36,Clefable,Pixyピクシー,483,70,73,95,90,60,95,25,800000,fairy,,Fairy Pokémon,1,0,-1.7649400234222412,21.7122802734375
37,Vulpix,Rokonロコン,299,41,40,50,65,65,38,190,1000000,fire,ice,Fox Pokémon,1,0,5.271022796630859,-31.29918670654297
38,Ninetales,Kyukonキュウコン,505,67,75,81,100,109,73,75,1000000,fire,ice,Fox Pokémon,1,0,20.969005584716797,5.731823921203613
39,Jigglypuff,Purinプリン,270,45,20,45,25,20,115,170,800000,normal,fairy,Balloon Pokémon,1,0,-17.042251586914062,-35.17440414428711
40,Wigglytuff,Pukurinプクリン,435,70,45,85,50,45,140,50,800000,normal,fairy,Balloon Pokémon,1,0,-1.8484759330749512,11.095993995666504
41,Zubat,Zubatズバット,245,45,35,30,40,55,40,255,1000000,poison,flying,Bat Pokémon,1,0,-6.259390830993652,-38.4454231262207
42,Golbat,Golbatゴルバット,455,80,70,65,75,90,75,90,1000000,poison,flying,Bat Pokémon,1,0,5.00418758392334,-0.7192146182060242
43,Oddish,Nazonokusaナゾノクサ,320,50,55,75,65,30,45,255,1059860,grass,poison,Weed Pokémon,1,0,2.795685052871704,-23.11316680908203
44,Gloom,Kusaihanaクサイハナ,395,65,70,85,75,40,60,120,1059860,grass,poison,Weed Pokémon,1,0,-4.530108451843262,0.7030786275863647
45,Vileplume,Ruffresiaラフレシア,490,80,85,110,90,50,75,45,1059860,grass,poison,Flower Pokémon,1,0,2.1494321823120117,21.02643585205078
46,Paras,Parasパラス,285,70,55,45,55,25,35,190,1000000,bug,grass,Mushroom Pokémon,1,0,-9.177839279174805,-26.739763259887695
47,Parasect,Parasectパラセクト,405,95,80,60,80,30,60,75,1000000,bug,grass,Mushroom Pokémon,1,0,-10.303606033325195,3.451343059539795
48,Venonat,Kongpangコンパン,305,55,50,40,55,45,60,190,1000000,bug,poison,Insect Pokémon,1,0,-4.766942501068115,-26.546401977539062
49,Venomoth,Morphonモルフォン,450,65,60,90,75,90,70,75,1000000,bug,poison,Poison Moth Pokémon,1,0,15.47022819519043,1.8701066970825195
50,Diglett,Digdaディグダ,265,55,30,35,45,90,10,255,1000000,ground,ground,Mole Pokémon,1,0,-0.7985528111457825,-40.79467010498047
51,Dugtrio,Dugtrioダグトリオ,425,100,60,50,70,110,35,50,1000000,ground,ground,Mole Pokémon,1,0,6.573774814605713,2.433521032333374
52,Meowth,Nyarthニャース,290,35,35,50,40,90,40,255,1000000,normal,dark,Scratch Cat Pokémon,1,0,2.655017852783203,-40.137916564941406
53,Persian,Persianペルシアン,440,60,60,75,65,115,65,90,1000000,normal,dark,Classy Cat Pokémon,1,0,18.245159149169922,-0.1404845118522644
54,Psyduck,Koduckコダック,320,52,48,65,50,55,50,190,1000000,water,,Duck Pokémon,1,0,3.0095572471618652,-31.48653221130371
55,Golduck,Golduckゴルダック,500,82,78,95,80,85,80,75,1000000,water,,Duck Pokémon,1,0,5.720203876495361,11.878974914550781
56,Mankey,Mankeyマンキー,305,80,35,35,45,70,40,190,1000000,fighting,,Pig Monkey Pokémon,1,0,-8.694040298461914,-30.998741149902344
57,Primeape,Okorizaruオコリザル,455,105,60,60,70,95,65,75,1000000,fighting,,Pig Monkey Pokémon,1,0,6.467910289764404,5.4118266105651855
58,Growlithe,Gardieガーディ,350,70,45,70,50,60,55,190,1250000,fire,,Puppy Pokémon,1,0,8.459003448486328,-19.754283905029297
59,Arcanine,Windieウインディ,555,110,80,100,80,95,90,75,1250000,fire,,Legendary Pokémon,1,0,14.521173477172852,16.4445743560791
60,Poliwag,Nyoromoニョロモ,300,50,40,40,40,90,40,255,1059860,water,,Tadpole Pokémon,1,0,0.6448749303817749,-39.56022644042969
61,Poliwhirl,Nyorozoニョロゾ,385,65,65,50,50,90,65,120,1059860,water,,Tadpole Pokémon,1,0,1.3181129693984985,-8.611581802368164
62,Poliwrath,Nyorobonニョロボン,510,95,95,70,90,70,90,45,1059860,water,fighting,Tadpole Pokémon,1,0,-7.922857284545898,17.411590576171875
63,Abra,Caseyケーシィ,310,20,15,105,55,90,25,200,1059860,psychic,,Psi Pokémon,1,0,21.28342056274414,-8.40473747253418
64,Kadabra,Yungererユンゲラー,400,35,30,120,70,105,40,100,1059860,psychic,,Psi Pokémon,1,0,21.003419876098633,-7.025748252868652
65,Alakazam,Foodinフーディン,600,50,65,175,105,150,55,50,1059860,psychic,,Psi Pokémon,1,0,24.718374252319336,14.03882122039795
66,Machop,Wanrikyワンリキー,305,80,50,35,35,35,70,180,1059860,fighting,,Superpower Pokémon,1,0,-12.310015678405762,-22.791919708251953
67,Machoke,Gorikyゴーリキー,405,100,70,50,60,45,80,90,1059860,fighting,,Superpower Pokémon,1,0,-9.463251113891602,6.526482582092285
68,Machamp,Kairikyカイリキー,505,130,80,65,85,55,90,45,1059860,fighting,,Superpower Pokémon,1,0,-14.20698356628418,15.104086875915527
69,Bellsprout,Madatsubomiマダツボミ,300,75,35,70,30,40,50,255,1059860,grass,poison,Flower Pokémon,1,0,10.704590797424316,-22.160791397094727
70,Weepinbell,Utsudonウツドン,390,90,50,85,45,55,65,120,1059860,grass,poison,Flycatcher Pokémon,1,0,10.028321266174316,-7.720736026763916
71,Victreebel,Utsubotウツボット,490,105,65,100,70,70,80,45,1059860,grass,poison,Flycatcher Pokémon,1,0,9.695615768432617,13.955301284790039
72,Tentacool,Menokurageメノクラゲ,335,40,35,50,100,70,40,190,1250000,water,poison,Jellyfish Pokémon,1,0,10.757314682006836,-29.298391342163086
73,Tentacruel,Dokukurageドククラゲ,515,70,65,80,120,100,80,60,1250000,water,poison,Jellyfish Pokémon,1,0,1.7068672180175781,30.938262939453125
74,Geodude,Isitsubuteイシツブテ,300,80,100,30,30,20,40,255,1059860,rock,ground,Rock Pokémon,1,0,-17.456607818603516,-15.154582977294922
75,Graveler,Goloneゴローン,390,95,115,45,45,35,55,120,1059860,rock,ground,Rock Pokémon,1,0,-18.205520629882812,-11.960820198059082
76,Golem,Golonyaゴローニャ,495,120,130,55,65,45,80,45,1059860,rock,ground,Megaton Pokémon,1,0,-22.287704467773438,14.44294261932373
77,Ponyta,Ponytaポニータ,410,85,55,65,65,90,50,190,1000000,fire,,Fire Horse Pokémon,1,0,8.321109771728516,0.6037378311157227
78,Rapidash,Gallopギャロップ,500,100,70,80,80,105,65,60,1000000,fire,,Fire Horse Pokémon,1,0,9.028019905090332,7.863065242767334
79,Slowpoke,Yadonヤドン,315,65,65,40,40,15,90,190,1000000,water,psychic,Dopey Pokémon,1,0,-14.808731079101562,-22.98362159729004
80,Slowbro,Yadoranヤドラン,590,75,180,130,80,30,95,75,1000000,water,psychic,Hermit Crab Pokémon,1,0,-21.75764274597168,8.29924201965332
81,Magnemite,Coilコイル,325,35,70,95,55,45,25,190,1000000,electric,steel,Magnet Pokémon,1,0,-11.403726577758789,-10.20631217956543
82,Magneton,Rarecoilレアコイル,465,60,95,120,70,70,50,60,1000000,electric,steel,Magnet Pokémon,1,0,4.876006603240967,19.014442443847656
83,Farfetch'd,Kamonegiカモネギ,377,90,55,58,62,60,52,45,1000000,normal,flying,Wild Duck Pokémon,1,0,-5.17366886138916,-11.053607940673828
84,Doduo,Dodoドードー,310,85,45,35,35,75,35,190,1000000,normal,flying,Twin Bird Pokémon,1,0,-9.49747371673584,-30.46509552001953
85,Dodrio,Dodorioドードリオ,470,110,70,60,60,110,60,45,1000000,normal,flying,Triple Bird Pokémon,1,0,7.014029502868652,4.718987941741943
86,Seel,Pawouパウワウ,325,45,55,45,70,45,65,190,1000000,water,,Sea Lion Pokémon,1,0,-1.5633530616760254,-25.77635383605957
87,Dewgong,Jugonジュゴン,475,70,80,70,95,70,90,75,1000000,water,ice,Sea Lion Pokémon,1,0,-4.411243915557861,22.8100528717041
88,Grimer,Betbeterベトベター,325,80,50,40,50,25,80,190,1000000,poison,poison,Sludge Pokémon,1,0,-13.30242919921875,-23.241483688354492
89,Muk,Betbetonベトベトン,500,105,75,65,100,50,105,75,1000000,poison,poison,Sludge Pokémon,1,0,-11.56006145477295,13.983468055725098
90,Shellder,Shellderシェルダー,305,65,100,45,25,40,30,190,1250000,water,,Bivalve Pokémon,1,0,-14.951024055480957,-14.928537368774414
91,Cloyster,Parshenパルシェン,525,95,180,85,45,70,50,60,1250000,water,ice,Bivalve Pokémon,1,0,-25.890817642211914,11.210634231567383
92,Gastly,Ghosゴース,310,35,30,100,35,80,30,190,1059860,ghost,poison,Gas Pokémon,1,0,21.31577491760254,-8.947881698608398
93,Haunter,Ghostゴースト,405,50,45,115,55,95,45,90,1059860,ghost,poison,Gas Pokémon,1,0,20.693782806396484,-6.615686416625977
94,Gengar,Gangarゲンガー,600,65,80,170,95,130,60,45,1059860,ghost,poison,Shadow Pokémon,1,0,24.410320281982422,14.358274459838867
95,Onix,Iwarkイワーク,385,45,160,30,45,70,35,45,1000000,rock,ground,Rock Snake Pokémon,1,0,-20.427825927734375,-5.021511554718018
96,Drowzee,Sleepeスリープ,328,48,45,43,90,42,60,190,1000000,psychic,,Hypnosis Pokémon,1,0,8.263851165771484,-26.71603012084961
97,Hypno,Sleeperスリーパー,483,73,70,73,115,67,85,75,1000000,psychic,,Hypnosis Pokémon,1,0,-3.4963552951812744,24.513214111328125
98,Krabby,Crabクラブ,325,105,90,25,25,50,30,225,1000000,water,,River Crab Pokémon,1,0,-14.365779876708984,-17.3071231842041
99,Kingler,Kinglerキングラー,475,130,115,50,50,75,55,60,1000000,water,,Pincer Pokémon,1,0,-20.347522735595703,19.3385009765625
100,Voltorb,Biriridamaビリリダマ,330,30,50,55,55,100,40,190,1000000,electric,,Ball Pokémon,1,0,4.196878433227539,-41.42655944824219
