date,min,max,mean
1997-01-01,16.0,25.0,19.9
1997-01-02,18.0,22.0,19.9
1997-01-03,17.0,18.0,17.6
1997-01-04,17.0,20.0,18.2
1997-01-05,15.0,19.0,17.2
1997-01-06,14.0,18.0,15.9
1997-01-07,14.0,19.0,16.2
1997-01-08,11.0,18.0,14.7
1997-01-09,11.0,16.0,13.5
1997-01-10,11.0,19.0,14.9
1997-01-11,12.0,20.0,15.8
1997-01-12,12.0,19.0,15.8
1997-01-13,15.0,19.0,17.4
1997-01-14,17.0,23.0,19.3
1997-01-15,17.0,21.0,18.9
1997-01-16,17.0,22.0,18.6
1997-01-17,18.0,21.0,19.3
1997-01-18,17.0,22.0,19.5
1997-01-19,17.0,21.0,19.1
1997-01-20,16.0,22.0,19.3
1997-01-21,18.0,23.0,20.5
1997-01-22,16.0,19.0,17.1
1997-01-23,13.0,19.0,16.4
1997-01-24,10.0,14.0,12.1
1997-01-25,10.0,13.0,11.9
1997-01-26,12.0,19.0,14.8
1997-01-27,13.0,20.0,16.7
1997-01-28,14.0,21.0,17.2
1997-01-29,14.0,22.0,18.4
1997-01-30,18.0,24.0,20.2
1997-01-31,17.0,26.0,21.0
1997-02-01,17.0,20.0,18.2
1997-02-02,17.0,20.0,18.5
1997-02-03,14.0,18.0,15.8
1997-02-04,14.0,19.0,16.2
1997-02-05,15.0,18.0,16.6
1997-02-06,14.0,17.0,15.4
1997-02-07,13.0,19.0,15.5
1997-02-08,13.0,18.0,15.3
1997-02-09,14.0,18.0,16.2
1997-02-10,16.0,17.0,16.3
1997-02-11,14.0,18.0,15.4
1997-02-12,13.0,15.0,14.5
1997-02-13,13.0,16.0,14.4
1997-02-14,14.0,16.0,14.8
1997-02-15,14.0,16.0,15.0
1997-02-16,13.0,15.0,13.7
1997-02-17,13.0,15.0,13.8
1997-02-18,11.0,18.0,14.2
1997-02-19,13.0,19.0,15.8
1997-02-20,14.0,21.0,17.2
1997-02-21,13.0,23.0,18.1
1997-02-22,16.0,21.0,18.1
1997-02-23,15.0,21.0,17.7
1997-02-24,16.0,24.0,19.9
1997-02-25,19.0,24.0,21.5
1997-02-26,21.0,26.0,22.8
1997-02-27,18.0,23.0,21.0
1997-02-28,17.0,24.0,20.9
1997-03-01,17.0,26.0,21.3
1997-03-02,16.0,22.0,18.7
1997-03-03,14.0,19.0,16.2
1997-03-04,14.0,21.0,17.4
1997-03-05,17.0,22.0,19.1
1997-03-06,17.0,26.0,21.1
1997-03-07,18.0,26.0,21.4
1997-03-08,19.0,26.0,22.1
1997-03-09,19.0,23.0,20.7
1997-03-10,20.0,26.0,22.8
1997-03-11,21.0,26.0,22.7
1997-03-12,20.0,25.0,22.0
1997-03-13,21.0,27.0,23.1
1997-03-14,21.0,26.0,23.5
1997-03-15,20.0,28.0,24.4
1997-03-16,21.0,23.0,21.7
1997-03-17,18.0,20.0,18.9
1997-03-18,18.0,20.0,19.0
1997-03-19,19.0,26.0,21.3
1997-03-20,17.0,21.0,19.2
1997-03-21,18.0,21.0,19.5
1997-03-22,18.0,23.0,20.0
1997-03-23,17.0,19.0,17.5
1997-03-24,16.0,19.0,17.4
1997-03-25,16.0,21.0,18.7
1997-03-26,19.0,26.0,22.2
1997-03-27,19.0,22.0,20.3
1997-03-28,19.0,21.0,19.7
1997-03-29,19.0,24.0,21.2
1997-03-30,18.0,26.0,22.5
1997-03-31,19.0,24.0,21.1
1997-04-01,19.0,22.0,20.6
1997-04-02,21.0,26.0,23.3
1997-04-03,21.0,27.0,23.7
1997-04-04,21.0,23.0,22.2
1997-04-05,20.0,26.0,22.9
1997-04-06,21.0,23.0,21.8
1997-04-07,20.0,22.0,20.9
1997-04-08,21.0,26.0,23.2
1997-04-09,22.0,25.0,23.7
1997-04-10,20.0,22.0,21.1
1997-04-11,20.0,28.0,22.8
1997-04-12,21.0,26.0,22.9
1997-04-13,22.0,25.0,23.2
1997-04-14,22.0,26.0,23.8
1997-04-15,24.0,29.0,26.7
1997-04-16,22.0,26.0,23.2
1997-04-17,21.0,24.0,22.5
1997-04-18,22.0,27.0,24.2
1997-04-19,22.0,26.0,23.2
1997-04-20,21.0,24.0,22.8
1997-04-21,22.0,28.0,24.9
1997-04-22,23.0,29.0,25.1
1997-04-23,22.0,25.0,23.1
1997-04-24,21.0,23.0,22.1
1997-04-25,19.0,23.0,21.0
1997-04-26,20.0,26.0,22.7
1997-04-27,22.0,27.0,24.0
1997-04-28,21.0,29.0,25.2
1997-04-29,24.0,28.0,26.2
1997-04-30,25.0,29.0,26.2
1997-05-01,24.0,29.0,26.0
1997-05-02,25.0,30.0,27.5
1997-05-03,25.0,30.0,27.0
1997-05-04,22.0,27.0,25.2
1997-05-05,23.0,27.0,25.0
1997-05-06,24.0,28.0,25.9
1997-05-07,24.0,27.0,25.3
1997-05-08,23.0,28.0,25.8
1997-05-09,23.0,27.0,24.6
1997-05-10,22.0,25.0,23.6
1997-05-11,24.0,31.0,27.2
1997-05-12,26.0,30.0,28.2
1997-05-13,27.0,31.0,28.5
1997-05-14,27.0,32.0,28.5
1997-05-15,27.0,32.0,29.4
1997-05-16,28.0,32.0,29.6
1997-05-17,25.0,29.0,27.6
1997-05-18,25.0,32.0,28.6
1997-05-19,26.0,31.0,28.8
1997-05-20,26.0,30.0,27.7
1997-05-21,23.0,27.0,25.6
1997-05-22,23.0,25.0,23.7
1997-05-23,22.0,25.0,23.6
1997-05-24,21.0,27.0,24.0
1997-05-25,23.0,30.0,26.8
1997-05-26,23.0,30.0,26.2
1997-05-27,22.0,29.0,26.3
1997-05-28,23.0,29.0,26.5
1997-05-29,25.0,29.0,26.5
1997-05-30,25.0,29.0,26.9
1997-05-31,26.0,31.0,28.2
1997-06-01,25.0,31.0,27.9
1997-06-02,27.0,32.0,29.1
1997-06-03,25.0,31.0,28.6
1997-06-04,24.0,31.0,28.1
1997-06-05,28.0,31.0,29.5
1997-06-06,27.0,32.0,29.7
1997-06-07,29.0,31.0,29.8
1997-06-08,29.0,32.0,30.0
1997-06-09,29.0,32.0,29.9
1997-06-10,26.0,31.0,29.1
1997-06-11,26.0,29.0,27.4
1997-06-12,27.0,30.0,28.1
1997-06-13,25.0,27.0,25.9
1997-06-14,25.0,29.0,26.7
1997-06-15,24.0,27.0,25.4
1997-06-16,23.0,26.0,24.4
1997-06-17,23.0,26.0,24.6
1997-06-18,23.0,26.0,25.1
1997-06-19,25.0,29.0,26.7
1997-06-20,26.0,31.0,28.0
1997-06-21,26.0,31.0,28.1
1997-06-22,25.0,29.0,26.9
1997-06-23,26.0,32.0,28.7
1997-06-24,25.0,30.0,28.3
1997-06-25,26.0,32.0,28.9
1997-06-26,26.0,30.0,27.9
1997-06-27,26.0,32.0,28.7
1997-06-28,27.0,31.0,28.8
1997-06-29,26.0,32.0,28.7
1997-06-30,27.0,30.0,28.3
1997-07-01,24.0,29.0,27.2
1997-07-02,25.0,29.0,27.1
1997-07-03,24.0,27.0,25.6
1997-07-04,23.0,30.0,27.6
1997-07-05,28.0,30.0,29.0
1997-07-06,26.0,31.0,27.6
1997-07-07,26.0,31.0,28.8
1997-07-08,27.0,30.0,28.9
1997-07-09,28.0,30.0,29.2
1997-07-10,26.0,30.0,28.5
1997-07-11,26.0,30.0,28.8
1997-07-12,27.0,32.0,29.6
1997-07-13,28.0,32.0,30.2
1997-07-14,27.0,32.0,29.2
1997-07-15,26.0,31.0,28.3
1997-07-16,26.0,30.0,28.0
1997-07-17,25.0,29.0,27.2
1997-07-18,25.0,28.0,27.3
1997-07-19,26.0,28.0,26.5
1997-07-20,25.0,31.0,27.7
1997-07-21,27.0,32.0,29.0
1997-07-22,28.0,32.0,29.5
1997-07-23,26.0,32.0,29.1
1997-07-24,27.0,32.0,29.2
1997-07-25,28.0,30.0,28.8
1997-07-26,28.0,32.0,30.0
1997-07-27,28.0,33.0,30.3
1997-07-28,28.0,33.0,30.3
1997-07-29,28.0,35.0,30.7
1997-07-30,29.0,34.0,31.3
1997-07-31,29.0,32.0,30.5
1997-08-01,26.0,31.0,28.8
1997-08-02,25.0,28.0,27.2
1997-08-03,25.0,29.0,27.5
1997-08-04,28.0,31.0,29.2
1997-08-05,28.0,33.0,30.4
1997-08-06,28.0,33.0,30.4
1997-08-07,26.0,32.0,28.6
1997-08-08,25.0,30.0,27.2
1997-08-09,29.0,31.0,29.5
1997-08-10,28.0,31.0,29.6
1997-08-11,25.0,32.0,29.4
1997-08-12,26.0,30.0,28.3
1997-08-13,26.0,29.0,27.7
1997-08-14,26.0,31.0,28.5
1997-08-15,27.0,33.0,29.6
1997-08-16,27.0,31.0,29.0
1997-08-17,26.0,33.0,29.3
1997-08-18,28.0,35.0,31.7
1997-08-19,29.0,35.0,32.2
1997-08-20,29.0,34.0,30.8
1997-08-21,26.0,30.0,28.4
1997-08-22,26.0,29.0,27.7
1997-08-23,27.0,31.0,28.9
1997-08-24,25.0,30.0,27.6
1997-08-25,26.0,31.0,28.6
1997-08-26,27.0,31.0,28.8
1997-08-27,25.0,31.0,28.8
1997-08-28,28.0,35.0,30.5
1997-08-29,28.0,37.0,32.5
1997-08-30,30.0,34.0,31.7
1997-08-31,29.0,32.0,30.1
1997-09-01,28.0,33.0,30.4
1997-09-02,29.0,31.0,29.4
1997-09-03,27.0,30.0,28.9
1997-09-04,27.0,31.0,28.5
1997-09-05,26.0,33.0,29.6
1997-09-06,28.0,32.0,29.7
1997-09-07,25.0,28.0,26.1
1997-09-08,25.0,29.0,26.8
1997-09-09,25.0,31.0,28.2
1997-09-10,26.0,32.0,28.8
1997-09-11,26.0,32.0,29.0
1997-09-12,26.0,32.0,29.2
1997-09-13,27.0,32.0,29.8
1997-09-14,24.0,32.0,28.5
1997-09-15,26.0,30.0,28.3
1997-09-16,26.0,31.0,28.1
1997-09-17,25.0,31.0,28.2
1997-09-18,24.0,30.0,27.8
1997-09-19,25.0,30.0,27.8
1997-09-20,27.0,30.0,27.9
1997-09-21,20.0,25.0,21.8
