Position,Streams,Date,Region,Track ID
12,1857252,2017-01-01,global,3NdDpSvN911VPGivFlV5d0
171,371473,2017-01-01,global,0KKkJNfGyhkQ5aFogxQAPU
6,2329762,2017-01-02,global,3NdDpSvN911VPGivFlV5d0
158,401377,2017-01-02,global,0KKkJNfGyhkQ5aFogxQAPU
4,2710150,2017-01-03,global,3NdDpSvN911VPGivFlV5d0
152,450733,2017-01-03,global,0KKkJNfGyhkQ5aFogxQAPU
4,2878313,2017-01-04,global,3NdDpSvN911VPGivFlV5d0
150,464772,2017-01-04,global,0KKkJNfGyhkQ5aFogxQAPU
4,2898180,2017-01-05,global,3NdDpSvN911VPGivFlV5d0
156,451289,2017-01-05,global,0KKkJNfGyhkQ5aFogxQAPU
1,6151345,2017-01-06,global,7qiZfU4dY1lWllzX7mPBI3
6,2897927,2017-01-06,global,3NdDpSvN911VPGivFlV5d0
164,451784,2017-01-06,global,0KKkJNfGyhkQ5aFogxQAPU
1,6602494,2017-01-07,global,7qiZfU4dY1lWllzX7mPBI3
6,2795586,2017-01-07,global,3NdDpSvN911VPGivFlV5d0
161,429466,2017-01-07,global,0KKkJNfGyhkQ5aFogxQAPU
1,6557531,2017-01-08,global,7qiZfU4dY1lWllzX7mPBI3
6,2658820,2017-01-08,global,3NdDpSvN911VPGivFlV5d0
159,402326,2017-01-08,global,0KKkJNfGyhkQ5aFogxQAPU
1,7261007,2017-01-09,global,7qiZfU4dY1lWllzX7mPBI3
5,3042565,2017-01-09,global,3NdDpSvN911VPGivFlV5d0
148,458015,2017-01-09,global,0KKkJNfGyhkQ5aFogxQAPU
1,7145757,2017-01-10,global,7qiZfU4dY1lWllzX7mPBI3
4,3157514,2017-01-10,global,3NdDpSvN911VPGivFlV5d0
148,460994,2017-01-10,global,0KKkJNfGyhkQ5aFogxQAPU
1,7193934,2017-01-11,global,7qiZfU4dY1lWllzX7mPBI3
4,3247065,2017-01-11,global,3NdDpSvN911VPGivFlV5d0
151,466382,2017-01-11,global,0KKkJNfGyhkQ5aFogxQAPU
1,7081620,2017-01-12,global,7qiZfU4dY1lWllzX7mPBI3
4,3296224,2017-01-12,global,3NdDpSvN911VPGivFlV5d0
156,463894,2017-01-12,global,0KKkJNfGyhkQ5aFogxQAPU
1,7275946,2017-01-13,global,7qiZfU4dY1lWllzX7mPBI3
4,3468827,2017-01-13,global,3NdDpSvN911VPGivFlV5d0
167,468936,2017-01-13,global,0KKkJNfGyhkQ5aFogxQAPU
1,7093868,2017-01-14,global,7qiZfU4dY1lWllzX7mPBI3
5,3417668,2017-01-14,global,3NdDpSvN911VPGivFlV5d0
111,617334,2017-01-14,global,4aWmUDTfIPGksMNLV2rQP2
167,442699,2017-01-14,global,0KKkJNfGyhkQ5aFogxQAPU
1,6451891,2017-01-15,global,7qiZfU4dY1lWllzX7mPBI3
4,3087541,2017-01-15,global,3NdDpSvN911VPGivFlV5d0
75,696718,2017-01-15,global,4aWmUDTfIPGksMNLV2rQP2
163,399519,2017-01-15,global,0KKkJNfGyhkQ5aFogxQAPU
1,7071702,2017-01-16,global,7qiZfU4dY1lWllzX7mPBI3
5,3324763,2017-01-16,global,3NdDpSvN911VPGivFlV5d0
51,982936,2017-01-16,global,4aWmUDTfIPGksMNLV2rQP2
157,436068,2017-01-16,global,0KKkJNfGyhkQ5aFogxQAPU
1,7086602,2017-01-17,global,7qiZfU4dY1lWllzX7mPBI3
5,3410496,2017-01-17,global,3NdDpSvN911VPGivFlV5d0
45,1172639,2017-01-17,global,4aWmUDTfIPGksMNLV2rQP2
151,464767,2017-01-17,global,0KKkJNfGyhkQ5aFogxQAPU
1,7153915,2017-01-18,global,7qiZfU4dY1lWllzX7mPBI3
5,3417561,2017-01-18,global,3NdDpSvN911VPGivFlV5d0
38,1384842,2017-01-18,global,4aWmUDTfIPGksMNLV2rQP2
153,468097,2017-01-18,global,0KKkJNfGyhkQ5aFogxQAPU
1,7133303,2017-01-19,global,7qiZfU4dY1lWllzX7mPBI3
5,3416023,2017-01-19,global,3NdDpSvN911VPGivFlV5d0
28,1583672,2017-01-19,global,4aWmUDTfIPGksMNLV2rQP2
145,482601,2017-01-19,global,0KKkJNfGyhkQ5aFogxQAPU
1,7299280,2017-01-20,global,7qiZfU4dY1lWllzX7mPBI3
5,3435556,2017-01-20,global,3NdDpSvN911VPGivFlV5d0
22,1784290,2017-01-20,global,4aWmUDTfIPGksMNLV2rQP2
144,510713,2017-01-20,global,0KKkJNfGyhkQ5aFogxQAPU
1,7057075,2017-01-21,global,7qiZfU4dY1lWllzX7mPBI3
6,3299577,2017-01-21,global,3NdDpSvN911VPGivFlV5d0
19,1986490,2017-01-21,global,4aWmUDTfIPGksMNLV2rQP2
143,498138,2017-01-21,global,0KKkJNfGyhkQ5aFogxQAPU
1,6423764,2017-01-22,global,7qiZfU4dY1lWllzX7mPBI3
5,2976059,2017-01-22,global,3NdDpSvN911VPGivFlV5d0
19,1859488,2017-01-22,global,4aWmUDTfIPGksMNLV2rQP2
135,470260,2017-01-22,global,0KKkJNfGyhkQ5aFogxQAPU
1,7058537,2017-01-23,global,7qiZfU4dY1lWllzX7mPBI3
4,3220708,2017-01-23,global,3NdDpSvN911VPGivFlV5d0
13,2162256,2017-01-23,global,4aWmUDTfIPGksMNLV2rQP2
131,511008,2017-01-23,global,0KKkJNfGyhkQ5aFogxQAPU
1,7169081,2017-01-24,global,7qiZfU4dY1lWllzX7mPBI3
4,3322706,2017-01-24,global,3NdDpSvN911VPGivFlV5d0
11,2391906,2017-01-24,global,4aWmUDTfIPGksMNLV2rQP2
134,524777,2017-01-24,global,0KKkJNfGyhkQ5aFogxQAPU
1,7259975,2017-01-25,global,7qiZfU4dY1lWllzX7mPBI3
4,3374636,2017-01-25,global,3NdDpSvN911VPGivFlV5d0
11,2521309,2017-01-25,global,4aWmUDTfIPGksMNLV2rQP2
132,536694,2017-01-25,global,0KKkJNfGyhkQ5aFogxQAPU
1,7398092,2017-01-26,global,7qiZfU4dY1lWllzX7mPBI3
4,3520010,2017-01-26,global,3NdDpSvN911VPGivFlV5d0
9,2676609,2017-01-26,global,4aWmUDTfIPGksMNLV2rQP2
129,544805,2017-01-26,global,0KKkJNfGyhkQ5aFogxQAPU
1,7765131,2017-01-27,global,7qiZfU4dY1lWllzX7mPBI3
3,3813687,2017-01-27,global,3NdDpSvN911VPGivFlV5d0
7,2926574,2017-01-27,global,4aWmUDTfIPGksMNLV2rQP2
139,556981,2017-01-27,global,0KKkJNfGyhkQ5aFogxQAPU
1,7423086,2017-01-28,global,7qiZfU4dY1lWllzX7mPBI3
3,3800351,2017-01-28,global,3NdDpSvN911VPGivFlV5d0
6,3088386,2017-01-28,global,4aWmUDTfIPGksMNLV2rQP2
139,531491,2017-01-28,global,0KKkJNfGyhkQ5aFogxQAPU
1,6539160,2017-01-29,global,7qiZfU4dY1lWllzX7mPBI3
3,3383307,2017-01-29,global,3NdDpSvN911VPGivFlV5d0
6,2677707,2017-01-29,global,4aWmUDTfIPGksMNLV2rQP2
133,493461,2017-01-29,global,0KKkJNfGyhkQ5aFogxQAPU
1,7122914,2017-01-30,global,7qiZfU4dY1lWllzX7mPBI3
3,3641608,2017-01-30,global,3NdDpSvN911VPGivFlV5d0
6,2967051,2017-01-30,global,4aWmUDTfIPGksMNLV2rQP2
134,528203,2017-01-30,global,0KKkJNfGyhkQ5aFogxQAPU
1,7419406,2017-01-31,global,7qiZfU4dY1lWllzX7mPBI3
3,3792324,2017-01-31,global,3NdDpSvN911VPGivFlV5d0
5,3221839,2017-01-31,global,4aWmUDTfIPGksMNLV2rQP2
131,563326,2017-01-31,global,0KKkJNfGyhkQ5aFogxQAPU
1,7549041,2017-02-01,global,7qiZfU4dY1lWllzX7mPBI3
3,3838281,2017-02-01,global,3NdDpSvN911VPGivFlV5d0
4,3460006,2017-02-01,global,4aWmUDTfIPGksMNLV2rQP2
122,587165,2017-02-01,global,0KKkJNfGyhkQ5aFogxQAPU
1,7602214,2017-02-02,global,7qiZfU4dY1lWllzX7mPBI3
3,3864527,2017-02-02,global,3NdDpSvN911VPGivFlV5d0
4,3582750,2017-02-02,global,4aWmUDTfIPGksMNLV2rQP2
120,593568,2017-02-02,global,0KKkJNfGyhkQ5aFogxQAPU
1,7881255,2017-02-03,global,7qiZfU4dY1lWllzX7mPBI3
3,4034520,2017-02-03,global,3NdDpSvN911VPGivFlV5d0
4,3897590,2017-02-03,global,4aWmUDTfIPGksMNLV2rQP2
126,620389,2017-02-03,global,0KKkJNfGyhkQ5aFogxQAPU
1,7740851,2017-02-04,global,7qiZfU4dY1lWllzX7mPBI3
3,3986228,2017-02-04,global,4aWmUDTfIPGksMNLV2rQP2
4,3928796,2017-02-04,global,3NdDpSvN911VPGivFlV5d0
125,605568,2017-02-04,global,0KKkJNfGyhkQ5aFogxQAPU
1,6968082,2017-02-05,global,7qiZfU4dY1lWllzX7mPBI3
3,3563966,2017-02-05,global,3NdDpSvN911VPGivFlV5d0
4,3482709,2017-02-05,global,4aWmUDTfIPGksMNLV2rQP2
113,579626,2017-02-05,global,0KKkJNfGyhkQ5aFogxQAPU
1,7138916,2017-02-06,global,7qiZfU4dY1lWllzX7mPBI3
3,3634652,2017-02-06,global,3NdDpSvN911VPGivFlV5d0
4,3564587,2017-02-06,global,4aWmUDTfIPGksMNLV2rQP2
105,603219,2017-02-06,global,0KKkJNfGyhkQ5aFogxQAPU
1,7458487,2017-02-07,global,7qiZfU4dY1lWllzX7mPBI3
3,3826728,2017-02-07,global,3NdDpSvN911VPGivFlV5d0
4,3767920,2017-02-07,global,4aWmUDTfIPGksMNLV2rQP2
91,678926,2017-02-07,global,0KKkJNfGyhkQ5aFogxQAPU
1,7557934,2017-02-08,global,7qiZfU4dY1lWllzX7mPBI3
3,3911713,2017-02-08,global,3NdDpSvN911VPGivFlV5d0
4,3832930,2017-02-08,global,4aWmUDTfIPGksMNLV2rQP2
88,709923,2017-02-08,global,0KKkJNfGyhkQ5aFogxQAPU
1,7473863,2017-02-09,global,7qiZfU4dY1lWllzX7mPBI3
3,3939004,2017-02-09,global,3NdDpSvN911VPGivFlV5d0
4,3853485,2017-02-09,global,4aWmUDTfIPGksMNLV2rQP2
84,735078,2017-02-09,global,0KKkJNfGyhkQ5aFogxQAPU
1,7783927,2017-02-10,global,7qiZfU4dY1lWllzX7mPBI3
2,4277593,2017-02-10,global,3NdDpSvN911VPGivFlV5d0
4,4025870,2017-02-10,global,4aWmUDTfIPGksMNLV2rQP2
87,746171,2017-02-10,global,0KKkJNfGyhkQ5aFogxQAPU
1,7714323,2017-02-11,global,7qiZfU4dY1lWllzX7mPBI3
2,4331920,2017-02-11,global,3NdDpSvN911VPGivFlV5d0
3,4131487,2017-02-11,global,4aWmUDTfIPGksMNLV2rQP2
85,754811,2017-02-11,global,0KKkJNfGyhkQ5aFogxQAPU
1,6845116,2017-02-12,global,7qiZfU4dY1lWllzX7mPBI3
2,3965956,2017-02-12,global,3NdDpSvN911VPGivFlV5d0
3,3557478,2017-02-12,global,4aWmUDTfIPGksMNLV2rQP2
77,731861,2017-02-12,global,0KKkJNfGyhkQ5aFogxQAPU
1,7344569,2017-02-13,global,7qiZfU4dY1lWllzX7mPBI3
2,4271266,2017-02-13,global,3NdDpSvN911VPGivFlV5d0
4,3588146,2017-02-13,global,4aWmUDTfIPGksMNLV2rQP2
44,1181792,2017-02-13,global,0KKkJNfGyhkQ5aFogxQAPU
1,7511927,2017-02-14,global,7qiZfU4dY1lWllzX7mPBI3
2,4375267,2017-02-14,global,3NdDpSvN911VPGivFlV5d0
4,3681350,2017-02-14,global,4aWmUDTfIPGksMNLV2rQP2
33,1410962,2017-02-14,global,0KKkJNfGyhkQ5aFogxQAPU
